"Site","X","Y","Counts","Area"
1,14.6748524795897,8.414067777848,0,10
2,15.2174318547494,26.0297488804851,1,10
3,17.2014814692869,15.9311135399926,2,10
4,33.8321104780176,29.4356537704664,4,10
5,33.3592062841819,24.716461196999,2,10
6,7.22038336335956,6.06420030306142,2,10
7,7.21002252120586,28.5387471692297,4,10
8,32.8302468100467,30.1447114361628,3,10
9,11.109067604301,7.44793656788596,2,10
10,44.2983961840574,14.645148052293,0,10
11,3.74478014926305,38.2401213268152,3,10
12,50.764176014651,36.4674920968124,4,10
13,42.7390062133158,8.02122596546014,1,10
14,34.409928043953,20.8808756659593,1,10
15,51.1723583963345,34.0589467779387,1,10
16,6.39601405450805,14.1589308027120,5,10
17,49.7212730060949,28.4640575375581,2,10
18,43.8544159476005,10.1736710802693,1,10
19,26.8733308821104,29.823310937337,2,10
20,34.6992568539354,13.5672066729566,2,10
21,28.6700959851199,33.9902925892177,5,10
22,14.2694353529171,26.8676586789874,1,10
23,38.5635334504554,7.03925836033627,5,10
24,4.84538657273629,40.3305794136977,4,10
25,43.4135173033115,4.74628178870612,2,10
26,51.0860837988995,13.3803044543722,0,10
27,14.1710993481540,35.9018361012895,4,10
28,19.8760797796533,11.1108040293214,3,10
29,38.9232470264903,33.6251185986015,5,10
30,19.0883603865088,11.7927355359127,3,10
31,37.1568390685917,20.6148324161591,2,10
32,22.656243919004,18.8512252651436,0,10
33,8.19954242950388,17.4262882805306,2,10
34,29.1427385780732,10.1702083740463,3,10
35,3.69584768579147,16.8474340955938,2,10
36,10.7201741116553,6.08048148014397,3,10
37,21.3233586992176,35.0066159446263,2,10
38,48.4341850987254,15.4756850637708,0,10
39,51.0504390290869,24.5017807570381,1,10
40,37.9970309505398,38.4535552098202,1,10
41,50.9240342430509,38.6196858031758,4,10
42,17.9510937942419,20.0161383931201,2,10
43,14.4484278646011,37.3249892667435,4,10
44,17.0901202425239,11.7244879447296,2,10
45,46.5917577885649,24.8047786320748,0,10
46,45.2752902133622,24.2754542655046,0,10
47,3.99820642732562,5.87673507206655,1,10
48,20.5891841254702,9.90051002340874,3,10
49,16.2385695962933,32.5630660584281,3,10
50,52.4329497032621,23.197651875558,2,10
