"Site","X","Y","Counts","Area"
1,27.9088718105108,24.2108881524298,19,100
2,26.2899428416044,20.7719876735006,11,100
3,29.2043643338606,29.9734789884184,31,100
4,31.8965977200773,24.9045715820044,21,100
5,11.5289222005289,11.2358880003449,19,100
6,44.2508453194518,26.9776326376945,9,100
7,23.9183994628023,29.4105483768974,21,100
8,25.8572220067494,26.6737022642512,17,100
9,47.811408721935,12.1686966116540,5,100
10,41.465520567121,23.4988295426592,8,100
11,44.4203083292581,13.7122303588782,9,100
12,22.6077800999396,14.0787367799785,18,100
13,25.4761301554739,28.4237307916395,20,100
14,15.8045484929811,32.5893788625486,22,100
15,26.7890707034152,32.4199333136436,28,100
16,22.3775065649301,21.3988321943674,12,100
17,41.9348053835332,13.3968870151322,10,100
18,41.8677890529856,11.8556424081326,14,100
19,25.2230523522943,17.2690227200743,11,100
20,32.8925274550915,16.9830643613357,17,100
