"Site","X","Y","Counts","Area"
1,12.4815128937882,32.2746619150863,8,40
2,42.4938981319634,8.54271278660685,9,40
3,18.8973106729262,19.5026107453076,8,40
4,30.1201689944698,7.68026925561934,7,40
5,39.1870660608512,19.3674594284407,5,40
6,20.3203898270708,22.1407172506471,8,40
7,25.5402984348606,23.8930132013044,7,40
8,11.9660194357603,19.5427533540192,10,40
9,43.3661911288420,28.3036989565984,2,40
10,19.0067626942398,32.5060487538101,5,40
11,11.7338274254662,20.4799495108462,11,40
12,16.5269966894135,33.5548137525682,8,40
13,31.1081165535231,23.8067691324964,5,40
14,24.7730697179592,9.02995051207757,6,40
15,22.283229564699,6.88412227309091,5,40
16,40.043259722641,23.4234826309083,3,40
17,30.9557237484892,11.9326771788461,7,40
18,44.7045590439445,8.85141925695146,6,40
19,36.1197510719346,26.3986810596675,9,40
20,38.1724715665054,37.4113449218286,10,40
