"Site","X","Y","Counts","Area"
1,33.3314991572372,28.7475464470201,3,10
2,44.0296701912584,40.4133913574364,2,10
3,49.0787184568731,23.4616269692349,0,10
4,31.8527439117398,35.8617696869537,4,10
5,50.9717541441196,32.1332921434165,1,10
6,48.2813968886631,6.25684614067113,0,10
7,10.5280159989886,3.21909374662645,1,10
8,22.1768185535768,36.511382937236,4,10
9,42.6358561390916,8.19457690814014,1,10
10,6.72365108205053,18.3014510274765,4,10
11,31.1289263413709,9.66664523803848,1,10
12,15.6485924705750,17.7991638054247,3,10
13,19.9441355497195,17.2435701002620,0,10
14,14.7681868668046,32.7987246896648,1,10
15,55.4040222683633,25.5269053040388,1,10
16,4.10844956480337,17.8760826907498,1,10
17,43.1996863608502,15.7091979090638,1,10
18,49.0217442743457,4.52448822434247,0,10
19,22.5855799157789,29.879846161345,1,10
20,39.5514325984053,30.2342773065487,2,10
